m,Bx,By,Bz
-6.94,0,0,0
-6.93,0,0,0
-6.92,0,0,0
-6.91,0,0,0
-6.9,0,0,0
-6.89,0,0,0
-6.88,0,0,0
-6.87,0,0,0
-6.86,0,0,0
-6.85,0,0,0
-6.84,0,0,0
-6.83,0,0,0
-6.82,0,0,0
-6.81,0,0,0
-6.8,0,0,0
-6.79,0,0,0
-6.78,0,0,0
-6.77,0,0,0
-6.76,0,0,0
-6.75,0,0,0
-6.74,0,0,0
-6.73,0,0,0
-6.72,0,0,0
-6.71,0,0,0
-6.7,0,0,0
-6.69,0,0,0
-6.68,0,0,0
-6.67,0,0,0
-6.66,0,0,0
-6.65,0,0,0
-6.64,0,0,0
-6.63,0,0,0
-6.62,0,0,0
-6.61,0,0,0
-6.6,0,0,0
-6.59,0,0,0
-6.58,0,0,0
-6.57,0,0,0
-6.56,0,0,0
-6.55,0,0,0
-6.54,0,0,0
-6.53,0,0,0
-6.52,0,0,0
-6.51,0,0,0
-6.5,0,0,0
-6.49,0,0,0
-6.48,0,0,0
-6.47,0,0,0
-6.46,0,0,0
-6.45,0,0,0
-6.44,0,0,0
-6.43,0,0,0
-6.42,0,0,0
-6.41,0,0,0
-6.4,0,0,0
-6.39,0,0,0
-6.38,0,0,0
-6.37,0,0,0
-6.36,0,0,0
-6.35,0,0,0
-6.34,0,0,0
-6.33,0,0,0
-6.32,0,0,0
-6.31,0,0,0
-6.3,0,0,0
-6.29,0,0,0
-6.28,0,0,0
-6.27,0,0,0
-6.26,0,0,0
-6.25,0,0,0
-6.24,0,0,0
-6.23,0,0,0
-6.22,0,0,0
-6.21,0,0,0
-6.2,0,0,0
-6.19,0,0,0
-6.18,0,0,0
-6.17,0,0,0
-6.16,0,0,0
-6.15,0,0,0
-6.14,0,0,0
-6.13,0,0,0
-6.12,0,0,0
-6.11,0,0,0
-6.1,0,0,0
-6.09,0,0,0
-6.08,0,0,0
-6.07,0,0,0
-6.06,0,0,0
-6.05,0,0,0
-6.04,0,0,0
-6.03,0,0,0
-6.02,0,0,0
-6.01,0,0,0
-6,0,0,0
-5.99,0,0,0
-5.98,0,0,0
-5.97,0,0,0
-5.96,0,0,0
-5.95,0,0,0
-5.94,0,0,0
-5.93,0,0,0
-5.92,0,0,0
-5.91,0,0,0
-5.9,0,0,0
-5.89,0,0,0
-5.88,0,0,0
-5.87,0,0,0
-5.86,0,0,0
-5.85,0,0,0
-5.84,0,0,0
-5.83,0,0,0
-5.82,0,0,0
-5.81,0,0,0
-5.8,0,0,0
-5.79,0,0,0
-5.78,0,0,0
-5.77,0,0,0
-5.76,0,0,0
-5.75,0,0,0
-5.74,0,0,0
-5.73,0,0,0
-5.72,0,0,0
-5.71,0,0,0
-5.7,0,0,0
-5.69,0,0,0
-5.68,0,0,0
-5.67,0,0,0
-5.66,0,0,0
-5.65,0,0,0
-5.64,0,0,0
-5.63,0,0,0
-5.62,0,0,0
-5.61,0,0,0
-5.6,0,0,0
-5.59,0,0,0
-5.58,0,0,0
-5.57,0,0,0
-5.56,0,0,0
-5.55,0,0,0
-5.54,0,0,0
-5.53,0,0,0
-5.52,0,0,0
-5.51,0,0,0
-5.5,0,0,0
-5.49,0,0,0
-5.48,0,0,0
-5.47,0,0,0
-5.46,0,0,0
-5.45,0,0,0
-5.44,0,0,0
-5.43,0,0,0
-5.42,0,0,0
-5.41,0,0,0
-5.4,0,0,0
-5.39,0,0,0
-5.38,0,0,0
-5.37,0,0,0
-5.36,0,0,0
-5.35,0,0,0
-5.34,0,0,0
-5.33,0,0,0
-5.32,0,0,0
-5.31,0,0,0
-5.3,0,0,0
-5.29,0,0,0
-5.28,0,0,0
-5.27,0,0,0
-5.26,0,0,0
-5.25,0,0,0
-5.24,0,0,0
-5.23,0,0,0
-5.22,0,0,0
-5.21,0,0,0
-5.2,0,0,0
-5.19,0,0,0
-5.18,0,0,0
-5.17,0,0,0
-5.16,0,0,0
-5.15,0,0,0
-5.14,0,0,0
-5.13,0,0,0
-5.12,0,0,0
-5.11,0,0,0
-5.1,0,0,0
-5.09,0,0,0
-5.08,0,0,0
-5.07,0,0,0
-5.06,0,0,0
-5.05,0,0,0
-5.04,0,0,0
-5.03,0,0,0
-5.02,0,0,0
-5.01,0,0,0
-5,0,0,0
-4.99,0,0,0
-4.98,0,0,0
-4.97,0,0,0
-4.96,0,0,0
-4.95,0,0,0
-4.94,0,0,0
-4.93,0,0,0
-4.92,0,0,0
-4.91,0,0,0
-4.9,0,0,0
-4.89,0,0,0
-4.88,0,0,0
-4.87,0,0,0
-4.86,0,0,0
-4.85,0,0,0
-4.84,0,0,0
-4.83,0,0,0
-4.82,0,0,0
-4.81,0,0,0
-4.8,0,0,0
-4.79,0,0,0
-4.78,0,0,0
-4.77,0,0,0
-4.76,0,0,0
-4.75,0,0,0
-4.74,0,0,0
-4.73,0,0,0
-4.72,0,0,0
-4.71,0,0,0
-4.7,0,0,0
-4.69,0,0,0
-4.68,0,0,0
-4.67,0,0,0
-4.66,0,0,0
-4.65,0,0,0
-4.64,0,0,0
-4.63,0,0,0
-4.62,0,0,0
-4.61,0,0,0
-4.6,0,0,0
-4.59,0,0,0
-4.58,0,0,0
-4.57,0,0,0
-4.56,0,0,0
-4.55,0,0,0
-4.54,0,0,0
-4.53,0,0,0
-4.52,0,0,0
-4.51,0,0,0
-4.5,0,0,0
-4.49,0,0,0
-4.48,0,0,0
-4.47,0,0,0
-4.46,0,0,0
-4.45,0,0,0
-4.44,0,0,0
-4.43,0,0,0
-4.42,0,0,0
-4.41,0,0,0
-4.4,0,0,0
-4.39,0,0,0
-4.38,0,0,0
-4.37,0,0,0
-4.36,0,0,0
-4.35,0,0,0
-4.34,0,0,0
-4.33,0,0,0
-4.32,0,0,0
-4.31,0,0,0
-4.3,0,0,0
-4.29,0,0,0
-4.28,0,0,0
-4.27,0,0,0
-4.26,0,0,0
-4.25,0,0,0
-4.24,0,0,0
-4.23,0,0,0
-4.22,0,0,0
-4.21,0,0,0
-4.2,0,0,0
-4.19,0,0,0
-4.18,0,0,0
-4.17,0,0,0
-4.16,0,0,0
-4.15,0,0,0
-4.14,0,0,0
-4.13,0,0,0
-4.12,0,0,0
-4.11,0,0,0
-4.1,0,0,0
-4.09,0,0,0
-4.08,0,0,0
-4.07,0,0,0
-4.06,0,0,0
-4.05,0,0,0
-4.04,0,0,0
-4.03,0,0,0
-4.02,0,0,0
-4.01,0,0,0
-4,0,0,0
-3.99,0,0,0
-3.98,0,0,0
-3.97,0,0,0
-3.96,0,0,0
-3.95,0,0,0
-3.94,0,0,0
-3.93,0,0,0
-3.92,0,0,0
-3.91,0,0,0
-3.9,0,0,0
-3.89,0,0,0
-3.88,0,0,0
-3.87,0,0,0
-3.86,0,0,0
-3.85,0,0,0
-3.84,0,0,0
-3.83,0,0,0
-3.82,0,0,0
-3.81,0,0,0
-3.8,0,0,0
-3.79,0,0,0
-3.78,0,0,0
-3.77,0,0,0
-3.76,0,0,0
-3.75,0,0,0
-3.74,0,0,0
-3.73,0,0,0
-3.72,0,0,0
-3.71,0,0,0
-3.7,0,0,0
-3.69,0,0,0
-3.68,0,0,0
-3.67,0,0,0
-3.66,-0.0407917223131766,0.217990995292773,-0.011425860954329
-3.65,-0.0413588487161206,0.219016838679325,-0.0116843271675303
-3.64,-0.0419630622822507,0.219916409234038,-0.0119487154229502
-3.63,-0.0426004779442787,0.220614828974928,-0.0122166576427362
-3.62,-0.0432675193475547,0.221040266283925,-0.0124858746146533
-3.61,-0.0439739769736648,0.221269057728705,-0.0127585197117738
-3.6,-0.0447207074471599,0.221363524616622,-0.0130373099114083
-3.59,-0.0455004128308143,0.221322320620656,-0.013323368137043
-3.58,-0.0463057946825811,0.221144100906387,-0.0136178212248247
-3.57,-0.0471338318764794,0.22080289878874,-0.0139236024612057
-3.56,-0.0480004748876491,0.220189444375133,-0.0142486944215154
-3.55,-0.0489008316749679,0.219353303935625,-0.0145878745686419
-3.54,-0.0498263218888337,0.218367970080267,-0.0149340654162206
-3.53,-0.0507683839343528,0.217306937346988,-0.0152801921531298
-3.52,-0.0517273786130379,0.216117595915799,-0.0156250297352368
-3.51,-0.0527141023875603,0.214664950419725,-0.0159739584635235
-3.5,-0.0537285307606336,0.213013986406477,-0.0163250722095425
-3.49,-0.054770477103756,0.211232552070961,-0.0166763507151718
-3.48,-0.0558401925539892,0.209382702857563,-0.017026002754809
-3.47,-0.0569478069911964,0.207365256892487,-0.0173777995500557
-3.46,-0.0580928062361364,0.2051610849547,-0.0177306044839676
-3.45,-0.0592686125747909,0.202824323953833,-0.0180801623723568
-3.44,-0.0604686621387201,0.200409112182636,-0.0184222218752113
-3.43,-0.0616905002617114,0.197944605251385,-0.0187545901335888
-3.42,-0.0629461515942697,0.195360823833918,-0.0190826519158803
-3.41,-0.0642304510622758,0.192677838903016,-0.0194035916385658
-3.4,-0.0655358203438715,0.189929667618405,-0.019713404243829
-3.39,-0.066854689831101,0.187150328910372,-0.0200080867665572
-3.38,-0.0681860230782403,0.184343494386696,-0.0202874473818076
-3.37,-0.0695363212613541,0.181481791936678,-0.020555763499621
-3.36,-0.0709063884237593,0.178566878073703,-0.0208140303834895
-3.35,-0.072296984103201,0.175600625977143,-0.0210632164328165
-3.34,-0.0737084851708652,0.172584692923879,-0.0213045727109547
-3.33,-0.0751367824972915,0.16951454413853,-0.0215429572091381
-3.32,-0.0765889056365211,0.166383075027855,-0.0217757082461239
-3.31,-0.0780757341978657,0.163184109876601,-0.0219974186265276
-3.3,-0.0796081461971424,0.159911470165362,-0.0222026805719799
-3.29,-0.0811997797695328,0.15655418896206,-0.0223899004230127
-3.28,-0.0828605005652565,0.153096392927773,-0.022568922408863
-3.27,-0.0845757927089454,0.149550218685196,-0.0227366414591332
-3.26,-0.0863293824918392,0.145930206526094,-0.0228884686693315
-3.25,-0.0881049999086701,0.142250900961689,-0.0230198132282682
-3.24,-0.0899053256053367,0.138505275776822,-0.023135443918978
-3.23,-0.0917431218159732,0.134676988870454,-0.023242987194163
-3.22,-0.0936133214489894,0.130771203259272,-0.0233400799818816
-3.21,-0.0955108339082273,0.126793112371638,-0.0234243417663058
-3.2,-0.0974308646899911,0.122747352597537,-0.0234929344684383
-3.19,-0.0993756315336539,0.118626197327981,-0.0235390673811858
-3.18,-0.1013510688717,0.114416900630011,-0.0235653098087177
-3.17,-0.103362502822562,0.110108113408749,-0.0235770309868885
-3.16,-0.105415256490277,0.105688485338999,-0.0235795952988397
-3.15,-0.107516222852232,0.101141285463392,-0.0235684020879374
-3.14,-0.109670875243104,0.0964455026123374,-0.0235183703075313
-3.13,-0.111874189765836,0.0916057026015858,-0.0234375809296243
-3.12,-0.114120523801901,0.0866281957212317,-0.0233368177322862
-3.11,-0.116404237344037,0.081519289471619,-0.0232268565516888
-3.1,-0.118730223131552,0.076248583069638,-0.0230945966364154
-3.09,-0.12110577951044,0.0707923110674403,-0.0229257912809923
-3.08,-0.123529496571489,0.0651643438827405,-0.022728024963651
-3.07,-0.12599996773222,0.0593785525624138,-0.0225088726324024
-3.06,-0.12851804729977,0.0534407101348838,-0.0222732252107883
-3.05,-0.131102458528868,0.0472833858180317,-0.021998736125485
-3.04,-0.133742834214482,0.0409250963826491,-0.0216852857209078
-3.03,-0.13642049922258,0.0344121882388756,-0.0213412645148232
-3.02,-0.139116789976507,0.0277910128578007,-0.0209750514569623
-3.01,-0.141823021814122,0.0210777269419613,-0.0205856052088351
-3,-0.144555802966374,0.0142179136984219,-0.0201551559844149
-2.99,-0.147312849526353,0.00722059245012196,-0.0196911162672125
-2.98,-0.150090412802789,9.94062938075846e-05,-0.0192024832446535
-2.97,-0.152884771517514,-0.00713207233030831,-0.0186982038488923
-2.96,-0.15569993442523,-0.0144863583097051,-0.0181727577535788
-2.95,-0.15853765537993,-0.0219806425730906,-0.0176191942773741
-2.94,-0.161393195720174,-0.029615396201137,-0.0170403287852787
-2.93,-0.164261816775544,-0.0373910892672257,-0.0164389807796257
-2.92,-0.167142735304766,-0.0453148925295603,-0.0158161318999117
-2.91,-0.170059029350178,-0.0534321774946224,-0.0151607924905002
-2.9,-0.172992843687632,-0.0617148254246778,-0.0144794272898256
-2.89,-0.175916622120929,-0.0701178603650044,-0.0137828781392876
-2.88,-0.178802820379158,-0.0785962996722199,-0.0130819990708355
-2.87,-0.181651242809037,-0.0871478683723043,-0.0123771805868925
-2.86,-0.184495613170565,-0.0958263273814841,-0.0116553616052275
-2.85,-0.187303291497642,-0.104584548281089,-0.010928471580989
-2.84,-0.190038737448839,-0.113370899580873,-0.010209559178274
-2.83,-0.192667108577371,-0.122134404063685,-0.00951150509423694
-2.82,-0.195225488308974,-0.130899646418271,-0.00882700300434398
-2.81,-0.197725729792204,-0.139685883040404,-0.00815104369739783
-2.8,-0.200130281400169,-0.148468326822107,-0.00749071213183665
-2.79,-0.202401598212387,-0.157222181263151,-0.00685310242540374
-2.78,-0.204520674088341,-0.165925898234343,-0.00624134271538701
-2.77,-0.206577263782145,-0.174589530493553,-0.00563643240213457
-2.76,-0.208542132950114,-0.183223373973787,-0.00504689866211251
-2.75,-0.210358428719178,-0.191834611019417,-0.00448736226906771
-2.74,-0.2119692966622,-0.20043040954182,-0.00397245038932881
-2.73,-0.213407627611246,-0.209015321463546,-0.00349383069980019
-2.72,-0.214790662709242,-0.217584529416696,-0.00302298195061369
-2.71,-0.216051087032012,-0.226132798175228,-0.00257976485774502
-2.7,-0.217116137404223,-0.234654950209784,-0.00218545609731142
-2.69,-0.217916125108116,-0.243146754277303,-0.00186017790898779
-2.68,-0.218553167843575,-0.25164475822954,-0.00156182941464041
-2.67,-0.219086216501217,-0.260132839167945,-0.00127227092497861
-2.66,-0.219485013599881,-0.268559754420719,-0.00100841210015113
-2.65,-0.219719314903759,-0.276874253639783,-0.000787164659432847
-2.64,-0.21974936269826,-0.285040215818191,-0.000619536633283463
-2.63,-0.219523677627424,-0.293108925185718,-0.000479392943925268
-2.62,-0.219093023633453,-0.30107578752304,-0.000357681508147665
-2.61,-0.218521437394126,-0.308922701580969,-0.000250293044411327
-2.6,-0.217872960361284,-0.316631582570607,-0.000153120573322103
-2.59,-0.217097706006428,-0.324197807753538,-6.87627488717181e-05
-2.58,-0.216066811163993,-0.331644336647939,-3.20281881620484e-06
-2.57,-0.214848166450421,-0.338984509360289,5.00930193912362e-05
-2.56,-0.213513170626738,-0.346231387904674,9.78715392140183e-05
-2.55,-0.21212874481441,-0.353397166583187,0.000146335252446582
-2.54,-0.210610606447362,-0.360468729700028,0.000185243525277243
-2.53,-0.208927587585275,-0.367456046320156,0.000215941404508251
-2.52,-0.207116134855349,-0.374384533838267,0.000248812179102602
-2.51,-0.20521268840632,-0.381279619073635,0.000294238720567443
-2.5,-0.203231665894279,-0.388168103204715,0.000358497741950424
-2.49,-0.201102577725308,-0.395057481931941,0.000429931593404861
-2.48,-0.198852204926126,-0.401914457853371,0.000512047425089092
-2.47,-0.196522328410936,-0.408702736112949,0.000610969749111396
-2.46,-0.194154738377282,-0.415386032689845,0.000732823026555555
-2.45,-0.191750399069733,-0.421955534126425,0.000872940141638219
-2.44,-0.189275155007244,-0.428439615628582,0.00102262794035168
-2.43,-0.186743442159515,-0.434842955078011,0.00118951198687424
-2.42,-0.184170170098845,-0.441169953831202,0.00138135823588374
-2.41,-0.181569003692396,-0.44742559170167,0.00160512070147805
-2.4,-0.178925565501869,-0.453622871783421,0.0018488844434066
-2.39,-0.176238222410887,-0.459756622445582,0.00210764006765365
-2.38,-0.173516295353203,-0.465814821348241,0.00238331865178903
-2.37,-0.170769108363495,-0.471785448675617,0.0026778506137921
-2.36,-0.168006648547925,-0.477656778046873,0.00299369023385316
-2.35,-0.165229667513031,-0.483432497220978,0.00333234320844028
-2.34,-0.162421869614719,-0.489133903238226,0.00369001002558585
-2.33,-0.15956593016372,-0.494783080391676,0.0040624850944429
-2.32,-0.156644518781754,-0.500402108760873,0.00444556247205359
-2.31,-0.153648021479142,-0.506021505437507,0.00484366293379768
-2.3,-0.150580644700329,-0.511631058290804,0.00526199086284284
-2.29,-0.14744413803038,-0.517185260926253,0.0056944357691935
-2.28,-0.144240246752061,-0.522638546907336,0.00613485726287261
-2.27,-0.14096961080076,-0.527950611609489,0.00657765612399886
-2.26,-0.137617279288508,-0.533167211075462,0.0070267365127763
-2.25,-0.134183425045771,-0.538291596564967,0.00748307383754355
-2.24,-0.130675038352296,-0.543298668603423,0.00794490979061135
-2.23,-0.127099115881468,-0.548163329741623,0.0084104853300041
-2.22,-0.123458473817163,-0.55288362604025,0.00888071031926857
-2.21,-0.119739966407345,-0.557512621194199,0.00936068273401038
-2.2,-0.115937518806282,-0.562025352294927,0.00984396539609912
-2.19,-0.112046087702427,-0.566389641812051,0.0103231869159418
-2.18,-0.10806063800094,-0.570573311167646,0.0107909747956261
-2.17,-0.103971640434151,-0.574609247493269,0.0112463605373494
-2.16,-0.0997679407125213,-0.578535922229119,0.0116953375038235
-2.15,-0.0954422460737351,-0.582326912763948,0.0121407818758429
-2.14,-0.0909872706323488,-0.585955791993793,0.0125855685795414
-2.13,-0.086393117719063,-0.589404605344917,0.0130327846285439
-2.12,-0.0816247347831142,-0.592748850167157,0.0134854671914758
-2.11,-0.0766794326731619,-0.595984330988903,0.013939620217885
-2.1,-0.0715652948284521,-0.599074886059033,0.0143898639428836
-2.09,-0.0662904138731898,-0.601984356063493,0.0148308169771759
-2.08,-0.0608344873326333,-0.604730925045378,0.0152625463619152
-2.07,-0.05514061605554,-0.60741889935513,0.0156948549139382
-2.06,-0.0492520126694078,-0.609978213756145,0.0161212254720608
-2.05,-0.0432182213273753,-0.612327277795786,0.0165340186373033
-2.04,-0.0370887117179042,-0.614384828494945,0.0169256162945336
-2.03,-0.0308443254824346,-0.616272423586168,0.0173053598936515
-2.02,-0.0244510908814961,-0.618072949417632,0.0176858044288895
-2.01,-0.0179227128787132,-0.619691851159307,0.0180675305947652
-2,-0.0112729206595325,-0.621034577590487,0.0184511178400825
-1.99,-0.00451093410210227,-0.622039083727825,0.0188370505276477
-1.98,0.00239270053919325,-0.622937737898903,0.019224689839083
-1.97,0.00943292853039367,-0.623748129763748,0.0196134903564035
-1.96,0.0165934059257864,-0.624410302238465,0.0200030779500863
-1.95,0.0238577731808184,-0.624864301756237,0.0203930803023299
-1.94,0.0312201419160618,-0.625067990585632,0.0207818225153108
-1.93,0.0387018658070774,-0.62505900304708,0.0211663534706883
-1.92,0.0463096833689367,-0.62488234023156,0.0215475695130844
-1.91,0.0540492846842211,-0.624581956903256,0.0219265480185469
-1.9,0.0619268145064847,-0.624200160695662,0.0223043413959245
-1.89,0.0699992009830473,-0.623546600547153,0.0226781737566735
-1.88,0.0782529982897239,-0.622542439076423,0.0230472950812695
-1.87,0.0866163384520711,-0.621294360219649,0.0234140825930468
-1.86,0.0950173805397779,-0.619909065544375,0.0237809164189631
-1.85,0.103400831214331,-0.618450904228205,0.0241499051544482
-1.84,0.111836707227781,-0.616688395518987,0.0245201273196592
-1.83,0.120315812058772,-0.614637903256859,0.0248903111407636
-1.82,0.128803531497589,-0.61238495181875,0.025259462384306
-1.81,0.137265273043668,-0.610015073905678,0.0256265889648016
-1.8,0.145686640632095,-0.607513912189897,0.025989715445732
-1.79,0.154094906049919,-0.604734531535349,0.0263464655579026
-1.78,0.162491013922132,-0.601724227080113,0.0266971604981566
-1.77,0.170874691809312,-0.598537443081065,0.0270422076796663
-1.76,0.17924567178633,-0.595226416512914,0.027381826025524
-1.75,0.18760363624199,-0.59169429797246,0.0277046793606809
-1.74,0.195950224196493,-0.587894819608769,0.0280081798731896
-1.73,0.204287784426568,-0.583870280758338,0.0282982652239718
-1.72,0.212618676419709,-0.579662979712577,0.028580875139393
-1.71,0.220950316410615,-0.57528865659838,0.0288595043031509
-1.7,0.229304398134224,-0.570624607285672,0.0291230254757341
-1.69,0.237655390489436,-0.565695229556202,0.0293708719221179
-1.68,0.245970502611898,-0.560555568339856,0.0296050770862718
-1.67,0.254216957636562,-0.555260676442005,0.0298276774860327
-1.66,0.26240155136162,-0.549792720295325,0.0300124565265156
-1.65,0.270559563664656,-0.544068644744565,0.030169855778878
-1.64,0.278650925284003,-0.538142558717037,0.030305715838438
-1.63,0.286633958350417,-0.532071569282973,0.0304262063141617
-1.62,0.294467956210473,-0.525910397385951,0.0305371712498849
-1.61,0.30216151889171,-0.519614437915562,0.030630841324219
-1.6,0.309741834833712,-0.51316041974849,0.0307032196996305
-1.59,0.317223180277583,-0.506568952109859,0.0307565829379438
-1.58,0.324619836772191,-0.499860640243179,0.0307932108216137
-1.57,0.331938143570525,-0.493049427660721,0.0308129054534195
-1.56,0.339157244489287,-0.486108980865896,0.0308058663977625
-1.55,0.346302383796259,-0.479025983313336,0.0307750575388156
-1.54,0.353405611716811,-0.471791180287352,0.0307254605816333
-1.53,0.360498976055591,-0.464395309146002,0.030662052382178
-1.52,0.367599190580948,-0.456805613659054,0.0305838616036279
-1.51,0.374687461203209,-0.44900463851053,0.0304845192253691
-1.5,0.381749982404661,-0.441030783879648,0.0303653833322245
-1.49,0.388773130632838,-0.432922996733853,0.0302279053353209
-1.48,0.395745027893038,-0.424716394786005,0.0300730714918049
-1.47,0.40269268163424,-0.416354487197332,0.0298925480384048
-1.46,0.409608355775232,-0.407842712294232,0.029689543883971
-1.45,0.416463396640618,-0.399230479675188,0.0294731447475073
-1.44,0.423229163079412,-0.390567206472199,0.0292524309371839
-1.43,0.429886696761433,-0.381884655685398,0.0290335185662064
-1.42,0.436461683786452,-0.37313887640527,0.0288091045278649
-1.41,0.442957290384359,-0.3643347982149,0.0285791023291502
-1.4,0.449372392249847,-0.355485604981903,0.0283447529692004
-1.39,0.455705868344671,-0.346604480987974,0.0281072925949404
-1.38,0.461954381886715,-0.337711995581628,0.0278667556820178
-1.37,0.468122994405116,-0.328800680633658,0.0276221731272767
-1.36,0.47422523402653,-0.319834809775852,0.0273737631083728
-1.35,0.480274645503078,-0.310778567173753,0.0271217472302207
-1.34,0.486285377766841,-0.301597135093105,0.0268661429282187
-1.33,0.492272184866938,-0.292286986858347,0.0266043145238245
-1.32,0.498219392698688,-0.282866310941294,0.0263378503154059
-1.31,0.504103990117549,-0.273351006974777,0.0260699663948891
-1.3,0.509902969993066,-0.263756980446371,0.0258038762414811
-1.29,0.515613632746533,-0.254079710130229,0.0255403630785667
-1.28,0.521280110173377,-0.24427632375008,0.0252742466405116
-1.27,0.526867145851858,-0.234394514888148,0.0250094024285492
-1.26,0.532331820366646,-0.224490176076917,0.0247506025444137
-1.25,0.537631228491144,-0.214619210781053,0.0245026156474458
-1.24,0.542790516453785,-0.204780664591863,0.0242640703141972
-1.23,0.547846579586525,-0.194939422940127,0.0240307347646038
-1.22,0.552764128273333,-0.185107638016532,0.0238039231860999
-1.21,0.557507834306267,-0.175297502119989,0.0235849479718259
-1.2,0.562049063299506,-0.165524206404053,0.0233750442843813
-1.19,0.566448545173347,-0.155821834413778,0.0231731572991328
-1.18,0.570715046723877,-0.146155816859585,0.0229759445221302
-1.17,0.57482965205545,-0.136473757150134,0.0227800165659946
-1.16,0.578773431747672,-0.12672326354361,0.0225819775754707
-1.15,0.582557634858471,-0.116871769093041,0.0223789411876316
-1.14,0.586248896347809,-0.106955689083598,0.0221716335769896
-1.13,0.589814064431433,-0.0969819248300337,0.0219620304232885
-1.12,0.593212535024723,-0.0869537330096539,0.021752074111244
-1.11,0.596403765058797,-0.076874372044658,0.0215436982450379
-1.1,0.599460849115295,-0.0667326599991159,0.0213376431176075
-1.09,0.602426066045348,-0.0565283884843361,0.0211319431418841
-1.08,0.6052280554827,-0.0462791081990702,0.0209244052746623
-1.07,0.607795461201135,-0.0360023880240388,0.0207128250666022
-1.06,0.61008046663282,-0.0257116317288494,0.0204949173993848
-1.05,0.612256697824267,-0.0153817800823373,0.0202693374354141
-1.04,0.614306771281617,-0.00502347986635107,0.0200384856336764
-1.03,0.616145404551783,0.00534034752934305,0.0198052960157607
-1.02,0.617687320805243,0.0156867591482082,0.0195726949225153
-1.01,0.618953560373737,0.0259973455673827,0.0193424655056845
-1,0.620150533456772,0.0362806752970785,0.0191122638489051
-0.99,0.621219155624329,0.0465529581469135,0.0188804559855332
-0.98,0.62208459756434,0.0568302104379992,0.0186455246844755
-0.97,0.622672421725171,0.0671282215439567,0.0184059681655986
-0.96,0.623015770422297,0.0774196528818089,0.0181626006992829
-0.95,0.623188094830489,0.0877029768581908,0.0179154590452294
-0.94,0.623207184918664,0.0980161430723469,0.0176627153308656
-0.93,0.623090821539402,0.108397106002007,0.0174025553369076
-0.92,0.622831294745076,0.118882446706145,0.0171337802160312
-0.91,0.62225439311952,0.129475412161985,0.0168593493842485
-0.9,0.621394668190597,0.140146500048332,0.016577668864208
-0.89,0.620339370521555,0.150865010706809,0.016285948433987
-0.88,0.619175759301994,0.161600266890756,0.0159814174466593
-0.87,0.617856810948685,0.172360357150065,0.015661583572612
-0.86,0.616168993315388,0.183190085947293,0.0153272206716501
-0.85,0.614201384720948,0.194036758120759,0.0149811520405135
-0.84,0.612055371895672,0.204843963532151,0.0146262448127635
-0.83,0.60982999208366,0.215555677695925,0.0142653487253739
-0.82,0.607411552116084,0.22616423047074,0.0138977344809025
-0.81,0.604730519285599,0.23670596877647,0.0135221074255797
-0.8,0.601844392830749,0.247207858828943,0.0131388493687857
-0.79,0.598810665805796,0.257696881361102,0.0127483570310759
